dataset,model,setting,seed,n_samples,n_input_features,class_0,class_1,maximum_step,hidden_layers,dropout,learning_rate,weight_decay,batch_size,max_epochs,final_epoch,best_val_accuracy_epoch,best_val_auc_epoch,train_seconds,n_parameters,n_sparse_connections,n_connection_layers,notebook_reference,train_loss,train_accuracy,train_balanced_accuracy,train_roc_auc,val_loss,val_accuracy,val_balanced_accuracy,val_roc_auc,test_loss,test_accuracy,test_balanced_accuracy,test_roc_auc,run_status,run_error,wall_seconds_total
covid,PathNet,notebook_hyperparameters_external_test_split,2027,605,1174,236,369,3,none,0.1,0.001,0.0,16,200,200,64,81,76.69690334994812,5122606,2661,5,example_meta.ipynb,0.3362871045651643,0.977961432506887,0.9743483525587917,0.9710184182015169,0.6437963992357254,0.6446280991735537,0.6434732604945371,0.6945083381253595,0.6425828821957111,0.6363636363636364,0.6134272570442783,0.6996837262794708,ok,,76.92373263696209
covid,PathNet,notebook_hyperparameters_external_test_split,3407,605,1174,236,369,3,none,0.1,0.001,0.0,16,200,200,95,109,78.1542045060778,5122606,2661,5,example_meta.ipynb,0.3857893840126369,0.9393939393939394,0.9250525779109043,0.9054872219743801,0.628527045249939,0.6859504132231405,0.6384416331224841,0.7268545140885566,0.6357126161456108,0.6528925619834711,0.6191776883266245,0.6569867740080506,ok,,78.38375188806094
covid,PathNet,notebook_hyperparameters_external_test_split,91011,605,1174,236,369,3,none,0.1,0.001,0.0,16,200,200,40,40,74.54355487402063,5122606,2661,5,example_meta.ipynb,0.3370557479236437,0.977961432506887,0.9756070358804411,0.9664935313236888,0.6424974799156189,0.6611570247933884,0.6375790684301322,0.6469235192639449,0.6627442538738251,0.6363636363636364,0.6095457159286947,0.7136285221391605,ok,,74.76202539796941
brca,PathNet,notebook_hyperparameters_external_test_split,2781,762,8857,175,587,1,none,0.1,0.001,0.0,16,100,100,31,76,51.46856353699695,15183430,61206,3,example_gene.ipynb,0.34395224164272176,0.9714912280701754,0.9481074481074481,0.9584045584045584,0.36663146913051603,0.934640522875817,0.8571428571428572,0.9595641646489105,0.3859384924173355,0.9281045751633987,0.873002421307506,0.916949152542373,ok,,52.094557903008536
brca,PathNet,notebook_hyperparameters_external_test_split,14526,762,8857,175,587,1,none,0.1,0.001,0.0,16,100,100,2,81,52.27126932097599,15183430,61206,3,example_gene.ipynb,0.5438693196609102,0.7697368421052632,0.5,0.11954958621625288,0.541737961769104,0.7712418300653595,0.5,0.09818401937046006,0.5320154905319214,0.7712418300653595,0.5,0.1644067796610169,ok,,52.877864822978154
brca,PathNet,notebook_hyperparameters_external_test_split,2027,762,8857,175,587,1,none,0.1,0.001,0.0,16,100,100,85,66,52.0328085150104,15183430,61206,3,example_gene.ipynb,0.3479068423139638,0.9671052631578947,0.9485958485958486,0.9515398182064849,0.39793782234191893,0.9215686274509803,0.8486682808716708,0.9531476997578692,0.41876594722270966,0.8888888888888888,0.8375302663438257,0.9501210653753027,ok,,52.64688528107945
brca,PathNet,notebook_hyperparameters_external_test_split,3407,762,8857,175,587,1,none,0.1,0.001,0.0,16,100,100,42,10,51.8019601770211,15183430,61206,3,example_gene.ipynb,0.34733460175579994,0.9671052631578947,0.9485958485958486,0.9543074209740876,0.37392867505550387,0.934640522875817,0.9073849878934624,0.9231234866828087,0.3697482705116272,0.934640522875817,0.9274818401937046,0.9743341404358353,ok,,52.414076181012206
brca,PathNet,notebook_hyperparameters_external_test_split,91011,762,8857,175,587,1,none,0.1,0.001,0.0,16,100,100,68,82,51.71377968497109,15183430,61206,3,example_gene.ipynb,0.33868873324887505,0.9758771929824561,0.9576312576312577,0.9512549179215846,0.36762621998786926,0.9411764705882353,0.9116222760290557,0.9617433414043585,0.3674622535705566,0.954248366013072,0.9502421307506053,0.9549636803874093,ok,,52.314962381031364
brca,PathNet,notebook_hyperparameters_external_test_split,2781,762,8857,175,587,2,none,0.1,0.001,0.0,16,100,100,59,80,218.75558599899523,70801138,73084,4,example_gene.ipynb,0.34612142731403484,0.9671052631578947,0.9452584452584453,0.9609822276488943,0.3675725728273392,0.9411764705882353,0.8814769975786925,0.9684019370460049,0.3938071697950363,0.9084967320261438,0.8502421307506054,0.9273607748184021,ok,,222.3445602740394
brca,PathNet,notebook_hyperparameters_external_test_split,14526,762,8857,175,587,2,none,0.1,0.001,0.0,16,100,100,84,16,218.72387361095753,70801138,73084,4,example_gene.ipynb,0.33340011793991614,0.9802631578947368,0.9638176638176639,0.9743047076380409,0.40383502542972566,0.9084967320261438,0.8803874092009685,0.8918886198547216,0.3765441596508026,0.9281045751633987,0.8830508474576271,0.9544794188861986,ok,,222.32064918708056
