condition,seed,n_samples,n_features,n_modules,module_size,n_signal_modules,maximum_step,max_epochs,batch_size,learning_rate,dropout,source_shift,source_noise,label_noise,partition_note,feature_scope,target_features,n_model_input_features,connection_layer_sizes,n_sparse_connections,n_routable_sources,n_parameters,train_seconds,total_seconds,label_mean,signed_source_signal_separation,source_abs_signal_separation,train_loss,train_accuracy,train_balanced_accuracy,train_roc_auc,val_loss,val_accuracy,val_balanced_accuracy,val_roc_auc,test_loss,test_accuracy,test_balanced_accuracy,test_roc_auc,run_status,run_error
random_graph,3407,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,unrestricted_density_matched_random_graph,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|24|16|6,28,0,105250,4.853851084015332,4.914745196932927,0.5,1.8316235633827924,0.0014272928237915,0.6756267150243124,0.575925925925926,0.575925925925926,0.6123182441700961,0.6946244239807129,0.5166666666666667,0.5166666666666666,0.542716049382716,0.6804266422986984,0.5611111111111111,0.5611111111111111,0.5958024691358024,ok,
random_graph,14526,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,unrestricted_density_matched_random_graph,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|29|16|6,37,2,127170,5.136515832040459,5.20135227998253,0.5,2.025281023211233,-0.0021086931228637,0.3729929203788439,0.9611111111111112,0.961111111111111,0.9857887517146776,0.3702037557959556,0.95,0.95,0.98679012345679,0.3846233114600181,0.9611111111111112,0.961111111111111,0.9738271604938272,ok,
random_graph,91011,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,unrestricted_density_matched_random_graph,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|18|11|6,23,1,78576,4.782466119970195,4.842099847039208,0.5,2.033099339028951,-0.0017116069793701,0.4148389548063278,0.9333333333333332,0.9333333333333332,0.9613031550068584,0.427008256316185,0.9055555555555556,0.9055555555555556,0.9509876543209876,0.4275200292468071,0.9277777777777778,0.9277777777777778,0.957283950617284,ok,
wrong_graph_decoy,2027,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|28|56|84|112|140,840,840|28|15|6,46,0,95792,2.949821190908551,3.068669890984893,0.5,2.002846892399776,0.001644492149353,0.6583479217120579,0.6266666666666667,0.6266666666666667,0.6637777777777778,0.7356805801391602,0.4,0.4,0.4184,0.7438534696896871,0.46,0.4599999999999999,0.4648,ok,
wrong_graph_decoy,2781,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|28|56|84|112|140,840,840|16|10|6,19,0,54422,3.1108965969178826,3.1566166339907795,0.5,2.013708026336612,-0.0036820173263549,0.6749426211629596,0.5766666666666667,0.5766666666666667,0.5990666666666666,0.6838882764180502,0.54,0.54,0.5464,0.6625871459643046,0.59,0.5900000000000001,0.5808,ok,
wrong_graph_decoy,3407,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|28|56|84|112|140,840,840|19|13|6,20,0,64856,3.102583749918267,3.1763952609617263,0.5,2.041019302022519,0.0027440786361694,0.6632549251828875,0.63,0.63,0.6524000000000001,0.7159410317738851,0.55,0.55,0.5332,0.7633070151011149,0.45,0.4499999999999999,0.47,ok,
wrong_graph_decoy,14526,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|28|56|84|112|140,840,840|22|16|6,20,0,75362,2.907950115040876,2.9559120590565726,0.5,1.8849112557950207,0.0029953718185424,0.6774519171033587,0.55,0.55,0.5941333333333334,0.7328101197878519,0.47,0.47,0.4776000000000001,0.7295106053352356,0.44,0.44,0.4112,ok,
wrong_graph_decoy,91011,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|28|56|84|112|140,840,840|17|12|6,20,0,57962,2.64726271701511,2.69633166398853,0.5,2.029116432782553,0.0013095140457153,0.6718784826142448,0.5966666666666667,0.5966666666666667,0.6213333333333334,0.7118965784708658,0.48,0.48,0.5076,0.6573700904846191,0.5,0.5,0.4772,ok,
wrong_graph_decoy,2027,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|22|16|6,20,0,96482,4.908324447926134,4.977468723081984,0.5,2.0601495975912094,0.0005503892898559,0.6774121175209681,0.5833333333333334,0.5833333333333334,0.6042935528120713,0.7185826152563095,0.4944444444444444,0.4944444444444444,0.4730864197530864,0.6914737075567245,0.5388888888888889,0.5388888888888889,0.5695061728395061,ok,
wrong_graph_decoy,2781,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|11|9|6,5,0,47936,4.335513778030872,4.389018021989614,0.5,2.025767798171256,0.0059716701507568,0.6826984882354736,0.5981481481481481,0.5981481481481481,0.5956515775034295,0.6929121613502502,0.5,0.5,0.5407407407407407,0.7043153196573257,0.5166666666666667,0.5166666666666666,0.5,ok,
